scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,4.665,0.113,0.94,0.025,1.862,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,5.307,0.116,1.293,0.025,2.435,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,5.209,0.087,1.408,0.025,2.259,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,5.707,0.095,1.329,0.025,2.301,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,8.238,0.138,1.547,0.025,2.909,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,7.938,0.132,2.164,0.025,3.353,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,7.251,0.199,2.158,0.03,3.96,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,6.57,0.09,1.594,0.03,2.584,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,5.696,0.149,1.356,0.03,2.613,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,6.861,0.136,1.476,0.033,2.843,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,4.839,0.113,1.27,0.033,2.216,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,6.132,0.072,1.505,0.033,2.207,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,4.831,0.157,1.098,0.02,2.309,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,5.961,0.129,1.511,0.02,2.72,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,7.813,0.143,1.726,0.02,3.995,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,4.911,0.072,0.724,0.016,1.449,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,5.939,0.142,1.1,0.016,2.402,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,16.843,0.105,1.595,0.016,2.789,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,6.195,0.133,1.567,0.024,2.537,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,4.793,0.104,1.053,0.024,2.004,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,5.729,0.112,1.084,0.024,2.079,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,4.591,0.085,1.123,0.016,2.205,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,14.495,0.144,1.423,0.016,2.614,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,5.707,0.097,1.194,0.016,2.017,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,6.3,0.102,1.176,0.016,2.308,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,4.794,0.108,0.991,0.016,1.912,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,4.951,0.084,1.168,0.016,2.013,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,5.633,0.095,1.318,0.022,2.25,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,4.0,0.118,0.652,0.022,1.474,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,4.527,0.111,1.04,0.022,2.039,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,4.195,0.105,1.002,0.016,1.884,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,4.399,0.097,1.198,0.016,2.114,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,4.5,0.125,1.153,0.016,2.15,1,startup,skipped_rate_limited,False
axis_sine_fake,33,16,5.149,0.104,1.103,0.018,1.993,1,startup,fake_write_recorded,True
axis_sine_fake,34,16,4.787,0.124,0.99,0.018,2.061,1,startup,skipped_rate_limited,False
axis_sine_fake,35,16,4.027,0.102,1.158,0.018,2.006,1,startup,skipped_rate_limited,False
axis_sine_fake,36,16,4.882,0.067,0.912,0.017,1.48,1,startup,fake_write_recorded,True
axis_sine_fake,37,16,17.664,0.085,0.987,0.017,1.797,1,startup,skipped_rate_limited,False
axis_sine_fake,38,16,4.784,0.117,1.044,0.017,2.147,1,startup,skipped_rate_limited,False
