scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,8.402,0.135,0.729,0.042,1.326,2,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,1,16,3.469,0.076,0.546,0.042,0.974,3,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,2,16,2.57,0.076,0.517,0.042,0.87,4,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,3,16,3.273,0.086,0.768,0.017,1.298,5,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,4,16,2.832,0.071,0.532,0.017,0.874,6,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,5,16,3.095,0.08,0.72,0.017,1.145,7,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,6,16,11.106,0.078,0.616,0.013,0.978,8,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,7,16,4.112,0.09,0.885,0.013,1.351,9,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,8,16,2.93,0.074,0.543,0.013,0.909,10,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,9,16,5.528,0.12,1.32,0.02,2.13,11,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,10,16,2.907,0.088,0.635,0.02,1.14,12,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,11,16,2.695,0.066,0.535,0.02,0.848,13,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,12,16,3.52,0.067,0.52,0.011,0.822,14,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,13,16,3.795,0.116,0.622,0.011,1.122,15,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,14,16,3.575,0.121,0.878,0.011,1.425,16,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,15,16,7.064,0.069,0.593,0.01,0.933,17,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,16,16,11.381,0.108,0.906,0.01,1.47,18,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,17,16,12.441,0.098,0.558,0.01,1.043,19,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,18,16,10.473,0.102,0.798,0.015,1.329,20,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,19,16,3.158,0.121,0.639,0.015,1.215,21,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,20,16,3.567,0.07,0.855,0.015,1.306,22,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,21,16,2.622,0.072,0.55,0.011,0.887,23,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,22,16,3.566,0.111,0.857,0.011,1.401,24,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,23,16,3.527,0.074,0.958,0.011,1.358,25,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,24,16,2.87,0.069,0.557,0.011,0.888,26,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,25,16,3.578,0.108,0.784,0.011,1.348,27,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,26,16,13.223,0.089,0.948,0.011,1.417,28,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,27,16,3.854,0.119,1.085,0.042,1.7,29,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,28,16,3.163,0.115,0.684,0.042,1.215,30,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,29,16,4.03,0.067,0.502,0.042,0.807,31,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,30,16,10.803,0.074,0.59,0.011,0.957,32,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,31,16,3.406,0.091,0.885,0.011,1.379,33,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,32,16,3.727,0.102,0.776,0.011,1.316,34,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,33,16,13.84,0.101,0.639,0.013,1.095,35,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,34,16,2.491,0.074,0.532,0.013,0.9,36,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,35,16,12.37,0.069,0.521,0.013,0.847,37,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,36,16,2.991,0.075,0.719,0.014,1.109,38,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,37,16,3.715,0.069,0.842,0.014,1.23,39,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,38,16,3.5,0.108,0.837,0.014,1.42,40,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,39,16,10.437,0.095,0.684,0.012,1.129,41,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,40,16,3.882,0.185,0.771,0.012,1.497,42,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,41,16,2.928,0.071,0.515,0.012,0.85,43,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,42,16,2.577,0.071,0.553,0.01,0.909,44,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,43,16,4.704,0.061,0.694,0.01,1.045,45,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,44,16,3.76,0.081,0.86,0.01,1.301,46,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,45,16,9.598,0.077,0.551,0.011,0.923,47,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,46,16,3.478,0.088,0.646,0.011,1.118,48,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,47,16,3.252,0.113,0.725,0.011,1.293,49,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,48,16,2.913,0.068,0.515,0.01,0.812,50,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,49,16,8.412,0.07,0.514,0.01,0.877,51,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,50,16,3.551,0.096,0.796,0.01,1.292,52,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,51,16,13.621,0.067,0.606,0.011,0.925,53,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,52,16,12.081,0.077,0.693,0.011,1.098,54,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,53,16,4.018,0.127,0.994,0.011,1.613,55,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,54,16,4.017,0.086,0.93,0.018,1.453,56,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,55,16,3.637,0.076,0.694,0.018,1.181,57,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,56,16,2.901,0.083,0.666,0.018,1.078,58,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,57,16,3.246,0.114,0.757,0.017,1.256,59,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,58,16,3.115,0.068,0.599,0.017,1.019,60,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,59,16,2.942,0.078,0.568,0.017,0.966,61,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,60,16,3.293,0.158,0.802,0.016,1.431,62,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,61,16,2.968,0.068,0.52,0.016,0.845,63,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,62,16,2.932,0.081,0.636,0.016,1.058,64,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,63,16,3.337,0.099,1.015,0.018,1.486,65,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,64,16,3.233,0.115,0.667,0.018,1.13,66,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,65,16,3.022,0.097,0.802,0.018,1.248,67,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,66,16,2.952,0.066,0.553,0.011,0.876,68,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,67,16,2.756,0.068,0.547,0.011,0.869,69,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,68,16,3.402,0.101,0.76,0.011,1.262,70,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,69,16,3.45,0.079,0.7,0.02,1.115,71,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,70,16,3.458,0.093,0.606,0.02,1.186,72,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,71,16,2.999,0.089,0.541,0.02,0.95,73,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,72,16,3.136,0.086,0.824,0.02,1.23,74,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,73,16,2.793,0.066,0.497,0.02,0.811,75,runtime_context_changed,skipped_rate_limited,False
