scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,5.663,0.153,1.128,0.035,2.454,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,4.91,0.083,0.855,0.035,1.686,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,5.953,0.132,0.976,0.035,2.456,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,5.438,0.166,1.08,0.028,2.133,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,6.596,0.135,1.636,0.028,2.584,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,4.823,0.091,1.081,0.028,1.913,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,5.882,0.138,0.785,0.014,1.585,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,5.515,0.131,1.034,0.014,2.45,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,5.725,0.091,0.953,0.014,1.767,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,4.881,0.136,0.863,0.015,1.743,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,4.45,0.087,0.769,0.015,1.587,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,6.178,0.08,0.999,0.015,1.833,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,4.518,0.134,0.882,0.015,1.742,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,4.816,0.087,0.938,0.015,1.674,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,5.581,0.123,0.996,0.015,2.167,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,5.023,0.106,0.842,0.014,1.648,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,6.331,0.16,1.343,0.014,2.549,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,4.713,0.121,0.907,0.014,1.846,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,6.901,0.13,1.631,0.022,2.481,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,6.269,0.138,1.508,0.022,2.827,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,7.742,0.257,1.401,0.022,2.759,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,5.446,0.149,1.175,0.022,2.359,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,5.583,0.11,0.853,0.022,1.797,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,5.999,0.331,1.0,0.022,2.37,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,6.078,0.141,1.154,0.017,2.487,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,6.213,0.244,1.142,0.017,2.364,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,6.112,0.212,1.529,0.017,2.823,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,7.614,0.272,1.491,0.02,3.238,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,6.739,0.15,1.23,0.02,2.499,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,6.002,0.135,1.019,0.02,2.103,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,4.282,0.092,0.883,0.017,1.663,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,8.135,0.355,2.212,0.017,3.98,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,5.833,0.163,1.554,0.017,2.667,1,startup,skipped_rate_limited,False
