scenario,frame,axis,raw_input,measured_final,intended_stateful_final,expected_output_axis,bridge_output_value,vjoy_write_value,wrote_this_tick,write_status,final_abs_diff,output_abs_diff
axis_sine_fake,5,Aux 2,-0.913359,-0.8694751252884876,-0.8694701900100221,RZ,-0.8694751252884876,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,6,Roll,0.37615,0.19087530342419803,0.19088237307857825,X,0.19087530342419803,0.19087530342419803,True,fake_write_recorded,7e-06,7e-06
axis_sine_fake,6,Pitch,0.797818,0.6297060197836601,0.6297009997961777,Y,0.6297060197836601,0.6297060197836601,True,fake_write_recorded,5e-06,5e-06
axis_sine_fake,6,Throttle,0.957595,0.946975586099292,0.9469713059052592,Z,0.946975586099292,0.946975586099292,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,6,Yaw,0.839597,0.7161264516301581,0.716121802037985,RX,0.7161264516301581,0.7161264516301581,True,fake_write_recorded,5e-06,5e-06
axis_sine_fake,6,Aux 1,-0.37615,-0.2287235494792738,-0.22873171034966888,RY,-0.2287235494792738,-0.2287235494792738,True,fake_write_recorded,8e-06,8e-06
axis_sine_fake,6,Aux 2,-0.918853,-0.8810244933128578,-0.8810192337081243,RZ,-0.8810244933128578,-0.8810244933128578,True,fake_write_recorded,5e-06,5e-06
axis_sine_fake,7,Roll,0.434134,0.24031341387540867,0.24031556658033057,X,0.24031341387540867,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,7,Pitch,0.828,0.6783936497787488,0.6783814437133208,Y,0.6783936497787488,,False,skipped_rate_limited,1.2e-05,1.2e-05
axis_sine_fake,7,Throttle,0.959762,0.9503255212582433,0.9503246130308325,Z,0.9503255212582433,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,7,Yaw,0.811124,0.6791337504444909,0.6791356010748979,RX,0.6791337504444909,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,7,Aux 1,-0.434134,-0.2848803262807406,-0.28488272338990717,RY,-0.2848803262807406,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,7,Aux 2,-0.919799,-0.8857895678148261,-0.8858002785935181,RZ,-0.8857895678148261,,False,skipped_rate_limited,1.1e-05,1.1e-05
axis_sine_fake,8,Roll,0.489952,0.2917351376591943,0.29173908121675207,X,0.2917351376591943,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,8,Pitch,0.854093,0.7224485309911545,0.7224310714969303,Y,0.7224485309911545,,False,skipped_rate_limited,1.7e-05,1.7e-05
axis_sine_fake,8,Throttle,0.95967,0.9509493700567948,0.9509463410416042,Z,0.9509493700567948,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,8,Yaw,0.778683,0.6373440559035752,0.6373425044907699,RX,0.6373440559035752,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,8,Aux 1,-0.489952,-0.3416417934621939,-0.3416460847737841,RY,-0.3416417934621939,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,8,Aux 2,-0.916258,-0.8842660662585042,-0.8842573546264778,RZ,-0.8842660662585042,,False,skipped_rate_limited,9e-06,9e-06
axis_sine_fake,9,Roll,0.543359,0.344624174312547,0.3446328739693066,X,0.344624174312547,0.344624174312547,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,9,Pitch,0.875975,0.7611766152716344,0.7611598108163423,Y,0.7611766152716344,0.7611766152716344,True,fake_write_recorded,1.7e-05,1.7e-05
axis_sine_fake,9,Throttle,0.957305,0.9488496052239238,0.9488517875368234,Z,0.9488496052239238,0.9488496052239238,True,fake_write_recorded,2e-06,2e-06
axis_sine_fake,9,Yaw,0.742397,0.592383294006581,0.5923801622400945,RX,0.592383294006581,0.592383294006581,True,fake_write_recorded,3e-06,3e-06
axis_sine_fake,9,Aux 1,-0.543359,-0.39829255694000965,-0.3983017698001632,RY,-0.39829255694000965,-0.39829255694000965,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,9,Aux 2,-0.908171,-0.8766662229432757,-0.876655414165424,RZ,-0.8766662229432757,-0.8766662229432757,True,fake_write_recorded,1.1e-05,1.1e-05
axis_sine_fake,10,Roll,0.59411,0.39848423578081094,0.39848795371380474,X,0.39848423578081094,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,10,Pitch,0.893523,0.7938326332988881,0.7938371080659732,Y,0.7938326332988881,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,10,Throttle,0.952697,0.9440695048563074,0.9440699725446947,Z,0.9440695048563074,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,10,Yaw,0.702449,0.5455581993824646,0.5455563771316596,RX,0.5455581993824646,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,10,Aux 1,-0.59411,-0.45426542728725433,-0.45426920567952556,RY,-0.45426542728725433,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,10,Aux 2,-0.895598,-0.8632529961255145,-0.8632559786175109,RZ,-0.8632529961255145,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,11,Roll,0.641932,0.45275066414977705,0.45274440314212594,X,0.45275066414977705,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,11,Pitch,0.906706,0.8198206663650401,0.8198157365675431,Y,0.8198206663650401,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,11,Throttle,0.945861,0.936653456441003,0.936647040787563,Z,0.936653456441003,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,11,Yaw,0.659052,0.49797068941887696,0.49796661370995216,RX,0.49797068941887696,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,11,Aux 1,-0.641932,-0.5090323431715418,-0.5090259985574783,RY,-0.5090323431715418,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,11,Aux 2,-0.87863,-0.8443672313587156,-0.8443748585081918,RZ,-0.8443672313587156,,False,skipped_rate_limited,8e-06,8e-06
axis_sine_fake,12,Roll,0.68658,0.5067729077965544,0.5067613144294306,X,0.5067729077965544,0.5067729077965544,True,fake_write_recorded,1.2e-05,1.2e-05
