scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,5.908,0.272,1.219,0.047,2.619,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,6.544,0.211,1.55,0.047,3.424,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,8.922,0.099,0.758,0.047,1.495,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,5.056,0.114,0.823,0.019,1.672,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,7.389,0.087,0.797,0.019,1.668,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,5.478,0.119,1.259,0.019,2.261,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,7.365,0.126,1.421,0.017,2.51,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,5.086,0.098,1.294,0.017,2.249,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,7.03,0.088,1.953,0.017,2.743,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,6.031,0.111,1.164,0.018,2.504,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,6.153,0.142,1.088,0.018,2.078,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,5.953,0.193,1.309,0.018,2.726,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,5.765,0.085,0.92,0.018,1.994,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,6.118,0.137,1.29,0.018,2.495,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,5.056,0.123,0.883,0.018,1.906,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,6.878,0.284,1.149,0.025,2.66,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,5.524,0.192,0.96,0.025,2.041,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,7.053,0.188,1.733,0.025,3.502,1,startup,skipped_rate_limited,False
