scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,7.359,0.097,1.133,0.052,1.889,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,9.623,0.077,0.753,0.052,1.388,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,3.279,0.073,0.82,0.052,1.415,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,3.299,0.08,0.77,0.017,1.416,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,3.419,0.065,0.87,0.017,1.443,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,3.345,0.064,0.679,0.017,1.19,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,3.543,0.075,0.714,0.012,1.334,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,3.792,0.104,0.835,0.012,1.633,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,3.332,0.068,0.778,0.012,1.329,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,3.76,0.077,0.716,0.012,1.338,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,22.985,0.133,0.796,0.012,1.899,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,3.514,0.081,0.959,0.012,1.602,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,3.598,0.108,0.853,0.02,1.568,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,4.161,0.086,0.952,0.02,1.798,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,4.185,0.072,0.872,0.02,1.456,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,3.424,0.075,0.724,0.013,1.318,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,3.587,0.106,0.704,0.013,1.434,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,4.037,0.116,0.851,0.013,1.627,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,3.809,0.082,1.001,0.017,1.756,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,11.164,0.074,0.703,0.017,1.295,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,4.004,0.077,0.835,0.017,1.492,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,3.768,0.109,0.779,0.013,1.629,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,3.528,0.079,0.76,0.013,1.426,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,3.766,0.107,0.994,0.013,1.904,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,3.161,0.066,0.784,0.014,1.311,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,3.482,0.065,0.756,0.014,1.292,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,3.68,0.078,1.268,0.014,1.873,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,13.622,0.095,0.844,0.014,1.491,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,3.438,0.11,0.717,0.014,1.564,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,3.725,0.101,0.826,0.014,1.534,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,23.33,0.108,1.151,0.021,2.004,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,3.787,0.109,0.936,0.021,1.739,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,16.161,0.066,0.728,0.021,1.26,1,startup,skipped_rate_limited,False
axis_sine_fake,33,16,3.209,0.074,0.701,0.012,1.302,1,startup,fake_write_recorded,True
axis_sine_fake,34,16,26.268,0.085,0.89,0.012,1.664,1,startup,skipped_rate_limited,False
axis_sine_fake,35,16,4.533,0.096,1.097,0.012,1.93,1,startup,skipped_rate_limited,False
axis_sine_fake,36,16,4.894,0.143,1.226,0.022,2.238,1,startup,fake_write_recorded,True
axis_sine_fake,37,16,4.045,0.103,0.922,0.022,1.697,1,startup,skipped_rate_limited,False
axis_sine_fake,38,16,3.977,0.087,1.002,0.022,1.725,1,startup,skipped_rate_limited,False
axis_sine_fake,39,16,4.765,0.104,1.298,0.03,2.16,1,startup,fake_write_recorded,True
axis_sine_fake,40,16,3.525,0.116,0.778,0.03,1.679,1,startup,skipped_rate_limited,False
axis_sine_fake,41,16,3.63,0.112,0.865,0.03,1.756,1,startup,skipped_rate_limited,False
axis_sine_fake,42,16,4.248,0.069,1.015,0.019,1.71,1,startup,fake_write_recorded,True
axis_sine_fake,43,16,3.458,0.074,0.754,0.019,1.358,1,startup,skipped_rate_limited,False
axis_sine_fake,44,16,3.735,0.093,0.81,0.019,1.504,1,startup,skipped_rate_limited,False
axis_sine_fake,45,16,3.323,0.075,0.744,0.011,1.442,1,startup,fake_write_recorded,True
axis_sine_fake,46,16,3.418,0.076,0.866,0.011,1.458,1,startup,skipped_rate_limited,False
axis_sine_fake,47,16,3.946,0.126,0.863,0.011,1.624,1,startup,skipped_rate_limited,False
axis_sine_fake,48,16,3.978,0.117,0.76,0.012,1.57,1,startup,fake_write_recorded,True
axis_sine_fake,49,16,4.878,0.1,1.184,0.012,2.046,1,startup,skipped_rate_limited,False
axis_sine_fake,50,16,4.26,0.119,1.093,0.012,2.025,1,startup,skipped_rate_limited,False
axis_sine_fake,51,16,3.494,0.102,0.718,0.011,1.459,1,startup,fake_write_recorded,True
axis_sine_fake,52,16,14.175,0.071,0.855,0.011,1.509,1,startup,skipped_rate_limited,False
axis_sine_fake,53,16,13.715,0.078,0.76,0.011,1.389,1,startup,skipped_rate_limited,False
axis_sine_fake,54,16,5.023,0.083,1.242,0.027,2.154,1,startup,fake_write_recorded,True
axis_sine_fake,55,16,3.781,0.075,0.8,0.027,1.502,1,startup,skipped_rate_limited,False
axis_sine_fake,56,16,3.854,0.074,1.068,0.027,1.69,1,startup,skipped_rate_limited,False
axis_sine_fake,57,16,4.719,0.081,1.072,0.023,1.878,1,startup,fake_write_recorded,True
axis_sine_fake,58,16,4.183,0.108,0.722,0.023,1.44,1,startup,skipped_rate_limited,False
axis_sine_fake,59,16,3.535,0.097,0.93,0.023,1.672,1,startup,skipped_rate_limited,False
axis_sine_fake,60,16,4.312,0.092,1.016,0.018,1.702,1,startup,fake_write_recorded,True
axis_sine_fake,61,16,13.756,0.097,1.003,0.018,1.854,1,startup,skipped_rate_limited,False
axis_sine_fake,62,16,3.704,0.079,0.859,0.018,1.516,1,startup,skipped_rate_limited,False
axis_sine_fake,63,16,4.658,0.114,1.136,0.027,2.175,1,startup,fake_write_recorded,True
axis_sine_fake,64,16,13.851,0.117,1.177,0.027,2.144,1,startup,skipped_rate_limited,False
axis_sine_fake,65,16,4.83,0.141,1.362,0.027,2.309,1,startup,skipped_rate_limited,False
axis_sine_fake,66,16,13.711,0.074,0.759,0.012,1.362,1,startup,fake_write_recorded,True
axis_sine_fake,67,16,3.699,0.137,0.833,0.012,1.737,1,startup,skipped_rate_limited,False
axis_sine_fake,68,16,3.463,0.067,0.76,0.012,1.317,1,startup,skipped_rate_limited,False
axis_sine_fake,69,16,4.469,0.128,0.818,0.014,1.676,1,startup,fake_write_recorded,True
