scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,6.659,0.21,1.1,0.027,2.446,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,7.2,0.116,1.647,0.027,2.937,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,6.187,0.282,1.247,0.027,2.49,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,6.822,0.119,1.087,0.028,2.633,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,5.885,0.165,1.098,0.028,2.669,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,8.464,0.117,1.346,0.028,2.744,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,6.039,0.151,1.04,0.018,2.232,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,30.469,0.3,1.701,0.018,3.186,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,17.123,0.146,3.237,0.018,6.947,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,13.124,0.219,2.508,0.036,4.542,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,5.483,0.228,0.915,0.036,2.138,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,6.707,0.214,1.246,0.036,3.366,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,5.88,0.093,0.855,0.016,1.707,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,5.903,0.097,1.089,0.016,2.46,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,5.176,0.094,1.034,0.016,1.979,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,6.639,0.115,1.1,0.019,2.098,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,6.271,0.189,1.178,0.019,2.558,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,7.546,0.136,1.511,0.019,2.699,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,6.084,0.117,1.136,0.016,2.33,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,13.196,0.103,3.41,0.016,4.852,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,7.927,0.274,1.955,0.016,3.975,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,5.853,0.119,0.893,0.015,1.756,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,5.657,0.106,0.896,0.015,1.798,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,5.71,0.138,1.066,0.015,2.135,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,5.544,0.117,1.088,0.02,2.037,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,6.21,0.166,1.009,0.02,2.046,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,8.564,0.218,2.07,0.02,3.926,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,8.531,0.101,1.528,0.028,2.736,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,8.604,0.116,2.007,0.028,3.09,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,9.856,0.328,2.054,0.028,4.509,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,8.839,0.197,2.222,0.037,3.647,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,7.563,0.145,1.582,0.037,3.086,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,6.67,0.154,1.865,0.037,3.147,1,startup,skipped_rate_limited,False
axis_sine_fake,33,16,6.61,0.15,1.243,0.046,2.557,1,startup,fake_write_recorded,True
axis_sine_fake,34,16,6.521,0.139,1.69,0.046,2.778,1,startup,skipped_rate_limited,False
axis_sine_fake,35,16,5.157,0.088,1.109,0.046,1.948,1,startup,skipped_rate_limited,False
axis_sine_fake,36,16,5.208,0.09,0.882,0.015,1.804,1,startup,fake_write_recorded,True
axis_sine_fake,37,16,6.607,0.089,0.953,0.015,1.776,1,startup,skipped_rate_limited,False
axis_sine_fake,38,16,6.457,0.195,1.175,0.015,2.902,1,startup,skipped_rate_limited,False
