scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,8.13,0.119,0.885,0.024,1.838,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,5.67,0.139,1.288,0.024,2.466,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,3.62,0.099,0.788,0.024,1.544,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,4.212,0.116,0.899,0.022,1.789,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,3.493,0.086,0.668,0.022,1.542,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,4.376,0.068,0.908,0.022,1.524,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,4.015,0.088,0.799,0.016,1.52,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,4.218,0.107,0.8,0.016,1.665,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,11.356,0.087,0.836,0.016,1.636,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,5.126,0.099,0.772,0.015,1.629,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,4.528,0.122,0.889,0.015,1.811,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,5.388,0.149,0.954,0.015,1.962,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,6.287,0.13,1.345,0.027,2.666,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,5.205,0.141,0.867,0.027,2.277,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,5.459,0.125,1.418,0.027,2.602,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,13.834,0.105,1.414,0.027,2.328,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,4.518,0.099,0.834,0.027,1.706,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,4.92,0.093,1.134,0.027,1.972,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,3.33,0.072,0.582,0.014,1.161,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,3.144,0.068,0.594,0.014,1.14,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,3.701,0.07,0.739,0.014,1.318,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,3.365,0.083,0.684,0.015,1.303,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,3.609,0.088,0.627,0.015,1.203,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,3.605,0.088,0.795,0.015,1.553,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,4.633,0.1,1.366,0.097,2.417,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,15.21,0.089,0.874,0.097,1.664,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,4.609,0.093,1.237,0.097,2.064,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,11.965,0.093,0.749,0.013,1.504,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,4.806,0.097,1.17,0.013,2.267,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,5.541,0.098,0.91,0.013,1.717,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,6.184,0.131,1.448,0.021,2.731,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,12.448,0.12,0.682,0.021,1.504,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,5.152,0.079,0.718,0.021,1.424,1,startup,skipped_rate_limited,False
axis_sine_fake,33,16,6.416,0.144,1.278,0.028,2.71,1,startup,fake_write_recorded,True
axis_sine_fake,34,16,5.104,0.137,1.36,0.028,2.654,1,startup,skipped_rate_limited,False
axis_sine_fake,35,16,4.66,0.097,1.231,0.028,2.163,1,startup,skipped_rate_limited,False
axis_sine_fake,36,16,4.562,0.101,0.977,0.018,1.856,1,startup,fake_write_recorded,True
axis_sine_fake,37,16,4.406,0.106,0.927,0.018,1.801,1,startup,skipped_rate_limited,False
axis_sine_fake,38,16,4.311,0.099,0.761,0.018,1.604,1,startup,skipped_rate_limited,False
axis_sine_fake,39,16,4.802,0.075,0.728,0.014,1.392,1,startup,fake_write_recorded,True
axis_sine_fake,40,16,4.218,0.133,0.724,0.014,1.668,1,startup,skipped_rate_limited,False
axis_sine_fake,41,16,13.878,0.084,0.68,0.014,1.351,1,startup,skipped_rate_limited,False
axis_sine_fake,42,16,13.825,0.107,0.853,0.022,1.739,1,startup,fake_write_recorded,True
axis_sine_fake,43,16,3.429,0.089,0.59,0.022,1.344,1,startup,skipped_rate_limited,False
axis_sine_fake,44,16,5.391,0.093,1.833,0.022,2.711,1,startup,skipped_rate_limited,False
axis_sine_fake,45,16,5.78,0.152,1.222,0.02,2.437,1,startup,fake_write_recorded,True
axis_sine_fake,46,16,3.462,0.078,0.608,0.02,1.207,1,startup,skipped_rate_limited,False
axis_sine_fake,47,16,4.173,0.089,1.089,0.02,1.905,1,startup,skipped_rate_limited,False
axis_sine_fake,48,16,11.447,0.116,1.287,0.022,2.177,1,startup,fake_write_recorded,True
axis_sine_fake,49,16,5.506,0.13,1.01,0.022,2.882,1,startup,skipped_rate_limited,False
axis_sine_fake,50,16,4.19,0.122,0.857,0.022,1.831,1,startup,skipped_rate_limited,False
axis_sine_fake,51,16,6.952,0.13,1.562,0.027,2.899,1,startup,fake_write_recorded,True
axis_sine_fake,52,16,4.952,0.164,0.982,0.027,2.123,1,startup,skipped_rate_limited,False
axis_sine_fake,53,16,5.118,0.094,0.854,0.027,1.65,1,startup,skipped_rate_limited,False
axis_sine_fake,54,16,4.034,0.081,0.767,0.02,1.557,1,startup,fake_write_recorded,True
axis_sine_fake,55,16,4.278,0.072,0.607,0.02,1.191,1,startup,skipped_rate_limited,False
axis_sine_fake,56,16,13.399,0.091,0.895,0.02,1.714,1,startup,skipped_rate_limited,False
axis_sine_fake,57,16,5.201,0.11,1.132,0.021,2.086,1,startup,fake_write_recorded,True
axis_sine_fake,58,16,4.927,0.098,0.848,0.021,1.698,1,startup,skipped_rate_limited,False
axis_sine_fake,59,16,23.396,0.104,1.104,0.021,2.072,1,startup,skipped_rate_limited,False
axis_sine_fake,60,16,6.277,0.105,1.404,0.027,2.682,1,startup,fake_write_recorded,True
axis_sine_fake,61,16,13.05,0.144,0.816,0.027,2.188,1,startup,skipped_rate_limited,False
axis_sine_fake,62,16,4.419,0.081,1.076,0.027,1.887,1,startup,skipped_rate_limited,False
axis_sine_fake,63,16,3.814,0.069,0.562,0.011,1.133,1,startup,fake_write_recorded,True
axis_sine_fake,64,16,5.047,0.093,1.042,0.011,1.966,1,startup,skipped_rate_limited,False
axis_sine_fake,65,16,13.353,0.101,0.901,0.011,1.753,1,startup,skipped_rate_limited,False
