scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,3.622,0.096,0.762,0.021,1.509,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,3.171,0.07,0.683,0.021,1.256,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,3.487,0.068,0.805,0.021,1.456,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,3.568,0.065,0.687,0.016,1.193,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,2.954,0.067,0.658,0.016,1.214,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,3.424,0.069,0.751,0.016,1.337,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,3.319,0.063,0.73,0.013,1.235,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,3.175,0.069,0.771,0.013,1.352,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,3.09,0.074,0.752,0.013,1.357,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,3.327,0.063,0.654,0.011,1.195,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,2.974,0.067,0.738,0.011,1.281,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,3.274,0.07,0.763,0.011,1.35,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,3.028,0.062,0.667,0.011,1.178,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,2.965,0.063,0.643,0.011,1.139,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,3.606,0.104,0.814,0.011,1.635,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,3.121,0.062,0.747,0.014,1.257,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,2.782,0.063,0.642,0.014,1.158,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,3.168,0.061,0.728,0.014,1.221,1,startup,skipped_rate_limited,False
