scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,9.759,0.108,0.737,0.027,1.293,2,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,1,16,4.329,0.108,0.997,0.027,1.577,3,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,2,16,5.855,0.104,1.143,0.027,1.789,4,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,3,16,4.079,0.106,0.894,0.023,1.442,5,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,4,16,12.779,0.094,0.827,0.023,1.317,6,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,5,16,3.748,0.111,0.825,0.023,1.35,7,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,6,16,4.285,0.093,0.873,0.017,1.366,8,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,7,16,11.436,0.106,0.593,0.017,1.193,9,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,8,16,5.432,0.122,1.52,0.017,2.253,10,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,9,16,3.948,0.131,1.057,0.019,1.788,11,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,10,16,8.032,0.071,0.532,0.019,0.876,12,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,11,16,3.695,0.121,0.932,0.019,1.545,13,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,12,16,3.777,0.134,1.035,0.022,1.763,14,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,13,16,3.519,0.118,0.677,0.022,1.223,15,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,14,16,4.242,0.122,0.926,0.022,1.51,16,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,15,16,3.284,0.074,0.557,0.01,0.929,17,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,16,16,2.867,0.07,0.545,0.01,0.899,18,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,17,16,3.414,0.099,0.63,0.01,1.075,19,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,18,16,4.297,0.077,0.872,0.02,1.316,20,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,19,16,11.88,0.076,0.563,0.02,0.946,21,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,20,16,3.625,0.074,0.658,0.02,1.079,22,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,21,16,5.24,0.138,0.829,0.016,1.376,23,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,22,16,4.577,0.103,1.02,0.016,1.627,24,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,23,16,4.353,0.108,0.969,0.016,1.615,25,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,24,16,21.214,0.096,0.976,0.016,1.499,26,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,25,16,4.483,0.098,0.776,0.016,1.29,27,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,26,16,13.557,0.099,0.902,0.016,1.551,28,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,27,16,4.006,0.079,0.868,0.018,1.317,29,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,28,16,3.678,0.087,0.616,0.018,1.041,30,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,29,16,3.957,0.108,0.625,0.018,1.105,31,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,30,16,3.677,0.089,0.765,0.015,1.271,32,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,31,16,3.478,0.109,0.658,0.015,1.247,33,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,32,16,2.994,0.069,0.562,0.015,0.902,34,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,33,16,3.732,0.119,0.602,0.012,1.089,35,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,34,16,3.931,0.093,0.835,0.012,1.774,36,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,35,16,3.053,0.093,0.59,0.012,1.062,37,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,36,16,4.178,0.069,0.946,0.014,1.309,38,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,37,16,3.499,0.088,0.64,0.014,1.117,39,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,38,16,3.082,0.085,0.669,0.014,1.148,40,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,39,16,3.274,0.086,0.691,0.014,1.126,41,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,40,16,3.92,0.077,0.823,0.014,1.235,42,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,41,16,3.433,0.07,0.686,0.014,1.044,43,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,42,16,4.256,0.077,0.595,0.014,0.983,44,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,43,16,4.199,0.111,0.749,0.014,1.29,45,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,44,16,3.987,0.121,0.695,0.014,1.312,46,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,45,16,3.854,0.133,0.774,0.019,1.45,47,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,46,16,3.7,0.069,0.822,0.019,1.197,48,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,47,16,4.15,0.077,0.834,0.019,1.388,49,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,48,16,3.355,0.094,0.661,0.011,1.141,50,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,49,16,2.937,0.1,0.56,0.011,1.019,51,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,50,16,2.989,0.065,0.543,0.011,0.875,52,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,51,16,3.476,0.074,1.016,0.023,1.511,53,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,52,16,3.225,0.096,0.81,0.023,1.3,54,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,53,16,3.593,0.074,0.829,0.023,1.21,55,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,54,16,4.306,0.118,0.685,0.013,1.212,56,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,55,16,3.244,0.074,0.546,0.013,0.938,57,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,56,16,2.831,0.077,0.659,0.013,1.048,58,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,57,16,2.982,0.083,0.737,0.017,1.126,59,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,58,16,3.187,0.068,0.518,0.017,0.871,60,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,59,16,3.448,0.1,0.786,0.017,1.295,61,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,60,16,3.523,0.081,0.836,0.015,1.298,62,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,61,16,3.445,0.072,0.559,0.015,0.909,63,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,62,16,11.649,0.073,0.602,0.015,0.978,64,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,63,16,2.861,0.081,0.582,0.011,0.989,65,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,64,16,3.688,0.13,0.642,0.011,1.469,66,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,65,16,24.226,0.116,0.649,0.011,1.163,67,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,66,16,4.189,0.137,0.994,0.019,1.673,68,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,67,16,4.191,0.12,0.933,0.019,1.527,69,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,68,16,4.151,0.121,0.86,0.019,1.448,70,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,69,16,3.261,0.074,0.602,0.012,0.995,71,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,70,16,3.247,0.084,0.688,0.012,1.235,72,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,71,16,3.602,0.112,0.992,0.012,1.565,73,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,72,16,3.502,0.143,0.85,0.015,1.401,74,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,73,16,2.974,0.068,0.52,0.015,0.872,75,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,74,16,3.194,0.071,0.736,0.015,1.169,76,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,75,16,3.13,0.101,0.681,0.016,1.109,77,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,76,16,3.428,0.073,0.556,0.016,0.925,78,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,77,16,3.119,0.073,0.586,0.016,1.007,79,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,78,16,3.646,0.111,0.954,0.021,1.519,80,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,79,16,3.361,0.07,0.805,0.021,1.219,81,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,80,16,13.944,0.087,0.735,0.021,1.156,82,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,81,16,3.839,0.105,0.828,0.02,1.496,83,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,82,16,3.913,0.074,0.909,0.02,1.378,84,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,83,16,4.644,0.125,0.918,0.02,1.558,85,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,84,16,4.06,0.079,0.884,0.025,1.409,86,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,85,16,13.338,0.083,0.761,0.025,1.238,87,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,86,16,15.756,0.121,0.983,0.025,1.684,88,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,87,16,4.191,0.089,0.726,0.013,1.199,89,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,88,16,5.157,0.162,1.032,0.013,1.852,90,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,89,16,4.22,0.118,0.84,0.013,1.406,91,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,90,16,4.452,0.14,1.043,0.023,1.745,92,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,91,16,4.09,0.1,0.896,0.023,1.46,93,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,92,16,23.076,0.106,1.153,0.023,1.742,94,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,93,16,4.183,0.106,0.89,0.017,1.454,95,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,94,16,15.584,0.096,0.734,0.017,1.262,96,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,95,16,15.036,0.164,1.078,0.017,1.794,97,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,96,16,4.416,0.107,0.947,0.015,1.511,98,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,97,16,15.955,0.123,1.033,0.015,1.735,99,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,98,16,4.82,0.148,1.059,0.015,1.923,100,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,99,16,4.787,0.123,0.961,0.02,1.563,101,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,100,16,4.44,0.113,0.917,0.02,1.528,102,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,101,16,5.245,0.113,1.368,0.02,2.321,103,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,102,16,4.079,0.109,0.878,0.017,1.436,104,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,103,16,3.905,0.104,0.661,0.017,1.185,105,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,104,16,4.237,0.104,0.971,0.017,1.535,106,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,105,16,3.975,0.118,0.929,0.021,1.511,107,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,106,16,4.751,0.093,0.925,0.021,1.555,108,runtime_context_changed,skipped_rate_limited,False
