scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,6.693,0.145,1.115,0.081,2.436,1,startup,fake_write_recorded,True
axis_sine_fake,1,16,6.602,0.138,1.305,0.081,2.81,1,startup,skipped_rate_limited,False
axis_sine_fake,2,16,5.605,0.088,1.261,0.081,2.343,1,startup,skipped_rate_limited,False
axis_sine_fake,3,16,6.726,0.198,1.266,0.023,2.53,1,startup,fake_write_recorded,True
axis_sine_fake,4,16,6.426,0.088,1.76,0.023,3.025,1,startup,skipped_rate_limited,False
axis_sine_fake,5,16,5.574,0.09,1.132,0.023,2.268,1,startup,skipped_rate_limited,False
axis_sine_fake,6,16,5.101,0.116,0.835,0.014,1.848,1,startup,fake_write_recorded,True
axis_sine_fake,7,16,6.54,0.19,1.185,0.014,2.509,1,startup,skipped_rate_limited,False
axis_sine_fake,8,16,4.939,0.127,0.982,0.014,1.841,1,startup,skipped_rate_limited,False
axis_sine_fake,9,16,5.255,0.108,1.169,0.022,1.996,1,startup,fake_write_recorded,True
axis_sine_fake,10,16,6.313,0.16,1.349,0.022,2.602,1,startup,skipped_rate_limited,False
axis_sine_fake,11,16,5.609,0.148,0.917,0.022,1.846,1,startup,skipped_rate_limited,False
axis_sine_fake,12,16,6.216,0.119,1.413,0.025,2.651,1,startup,fake_write_recorded,True
axis_sine_fake,13,16,5.379,0.11,1.082,0.025,2.075,1,startup,skipped_rate_limited,False
axis_sine_fake,14,16,6.773,0.163,1.756,0.025,2.858,1,startup,skipped_rate_limited,False
axis_sine_fake,15,16,4.955,0.093,1.164,0.022,2.015,1,startup,fake_write_recorded,True
axis_sine_fake,16,16,6.408,0.084,1.423,0.022,2.317,1,startup,skipped_rate_limited,False
axis_sine_fake,17,16,5.309,0.158,1.105,0.022,2.158,1,startup,skipped_rate_limited,False
axis_sine_fake,18,16,5.09,0.085,0.924,0.021,1.65,1,startup,fake_write_recorded,True
axis_sine_fake,19,16,6.354,0.132,1.465,0.021,2.695,1,startup,skipped_rate_limited,False
axis_sine_fake,20,16,5.641,0.167,1.266,0.021,2.329,1,startup,skipped_rate_limited,False
axis_sine_fake,21,16,6.762,0.117,1.84,0.026,2.987,1,startup,fake_write_recorded,True
axis_sine_fake,22,16,6.375,0.158,1.333,0.026,2.587,1,startup,skipped_rate_limited,False
axis_sine_fake,23,16,6.609,0.13,1.731,0.026,2.968,1,startup,skipped_rate_limited,False
axis_sine_fake,24,16,4.704,0.098,0.875,0.018,1.768,1,startup,fake_write_recorded,True
axis_sine_fake,25,16,7.052,0.137,1.661,0.018,2.916,1,startup,skipped_rate_limited,False
axis_sine_fake,26,16,5.112,0.134,1.232,0.018,2.182,1,startup,skipped_rate_limited,False
axis_sine_fake,27,16,6.075,0.086,1.113,0.019,2.142,1,startup,fake_write_recorded,True
axis_sine_fake,28,16,5.438,0.107,0.804,0.019,1.761,1,startup,skipped_rate_limited,False
axis_sine_fake,29,16,6.283,0.103,0.932,0.019,1.763,1,startup,skipped_rate_limited,False
axis_sine_fake,30,16,6.849,0.109,1.432,0.018,2.789,1,startup,fake_write_recorded,True
axis_sine_fake,31,16,7.891,0.095,1.499,0.018,2.769,1,startup,skipped_rate_limited,False
axis_sine_fake,32,16,6.639,0.127,1.405,0.018,2.755,1,startup,skipped_rate_limited,False
axis_sine_fake,33,16,7.054,0.091,1.012,0.018,2.006,1,startup,fake_write_recorded,True
axis_sine_fake,34,16,5.636,0.109,0.825,0.018,1.954,1,startup,skipped_rate_limited,False
axis_sine_fake,35,16,6.118,0.109,1.097,0.018,1.994,1,startup,skipped_rate_limited,False
axis_sine_fake,36,16,5.855,0.153,1.031,0.016,2.221,1,startup,fake_write_recorded,True
axis_sine_fake,37,16,4.717,0.12,0.796,0.016,1.612,1,startup,skipped_rate_limited,False
axis_sine_fake,38,16,6.389,0.143,1.298,0.016,2.545,1,startup,skipped_rate_limited,False
axis_sine_fake,39,16,4.75,0.162,0.837,0.015,1.829,1,startup,fake_write_recorded,True
axis_sine_fake,40,16,6.034,0.155,1.148,0.015,2.171,1,startup,skipped_rate_limited,False
axis_sine_fake,41,16,5.089,0.089,0.902,0.015,2.257,1,startup,skipped_rate_limited,False
axis_sine_fake,42,16,5.158,0.085,0.831,0.014,1.527,1,startup,fake_write_recorded,True
axis_sine_fake,43,16,6.148,0.188,1.271,0.014,2.556,1,startup,skipped_rate_limited,False
axis_sine_fake,44,16,5.06,0.119,0.881,0.014,1.711,1,startup,skipped_rate_limited,False
axis_sine_fake,45,16,6.253,0.144,1.695,0.125,2.703,1,startup,fake_write_recorded,True
axis_sine_fake,46,16,4.563,0.102,0.846,0.125,1.799,1,startup,skipped_rate_limited,False
axis_sine_fake,47,16,5.888,0.08,0.992,0.125,1.73,1,startup,skipped_rate_limited,False
axis_sine_fake,48,16,4.958,0.137,1.162,0.022,2.316,1,startup,fake_write_recorded,True
axis_sine_fake,49,16,4.724,0.113,0.896,0.022,1.888,1,startup,skipped_rate_limited,False
axis_sine_fake,50,16,6.965,0.107,1.768,0.022,2.813,1,startup,skipped_rate_limited,False
axis_sine_fake,51,16,4.988,0.085,0.811,0.014,1.678,1,startup,fake_write_recorded,True
axis_sine_fake,52,16,6.708,0.089,1.166,0.014,1.976,1,startup,skipped_rate_limited,False
axis_sine_fake,53,16,4.903,0.118,0.895,0.014,1.898,1,startup,skipped_rate_limited,False
axis_sine_fake,54,16,6.095,0.106,0.819,0.014,1.654,1,startup,fake_write_recorded,True
axis_sine_fake,55,16,5.932,0.606,1.123,0.014,2.641,1,startup,skipped_rate_limited,False
axis_sine_fake,56,16,5.843,0.096,0.893,0.014,1.71,1,startup,skipped_rate_limited,False
axis_sine_fake,57,16,6.523,0.183,1.32,0.022,3.07,1,startup,fake_write_recorded,True
axis_sine_fake,58,16,5.527,0.09,1.063,0.022,1.823,1,startup,skipped_rate_limited,False
axis_sine_fake,59,16,7.054,0.222,1.527,0.022,2.811,1,startup,skipped_rate_limited,False
axis_sine_fake,60,16,5.615,0.091,0.967,0.014,1.985,1,startup,fake_write_recorded,True
axis_sine_fake,61,16,8.758,0.158,1.286,0.014,2.751,1,startup,skipped_rate_limited,False
axis_sine_fake,62,16,11.033,0.125,3.26,0.014,4.617,1,startup,skipped_rate_limited,False
axis_sine_fake,63,16,5.785,0.139,1.077,0.016,2.377,1,startup,fake_write_recorded,True
axis_sine_fake,64,16,6.056,0.154,1.507,0.016,2.821,1,startup,skipped_rate_limited,False
axis_sine_fake,65,16,5.089,0.089,0.854,0.016,1.618,1,startup,skipped_rate_limited,False
axis_sine_fake,66,16,6.438,0.153,1.275,0.019,2.091,1,startup,fake_write_recorded,True
axis_sine_fake,67,16,6.014,0.108,1.54,0.019,2.637,1,startup,skipped_rate_limited,False
axis_sine_fake,68,16,5.027,0.085,0.884,0.019,1.718,1,startup,skipped_rate_limited,False
axis_sine_fake,69,16,6.632,0.16,1.5,0.019,2.774,1,startup,fake_write_recorded,True
axis_sine_fake,70,16,4.782,0.09,0.919,0.019,1.677,1,startup,skipped_rate_limited,False
axis_sine_fake,71,16,6.115,0.189,1.463,0.019,2.825,1,startup,skipped_rate_limited,False
axis_sine_fake,72,16,5.377,0.228,1.123,0.018,2.353,1,startup,fake_write_recorded,True
axis_sine_fake,73,16,5.771,0.104,1.085,0.018,2.031,1,startup,skipped_rate_limited,False
axis_sine_fake,74,16,6.0,0.141,1.176,0.018,2.424,1,startup,skipped_rate_limited,False
axis_sine_fake,75,16,6.173,0.118,1.171,0.018,2.217,1,startup,fake_write_recorded,True
axis_sine_fake,76,16,5.97,0.118,1.146,0.018,2.374,1,startup,skipped_rate_limited,False
axis_sine_fake,77,16,7.535,0.156,1.464,0.018,2.507,1,startup,skipped_rate_limited,False
axis_sine_fake,78,16,5.277,0.223,1.058,0.022,2.186,1,startup,fake_write_recorded,True
axis_sine_fake,79,16,4.759,0.136,0.982,0.022,1.907,1,startup,skipped_rate_limited,False
axis_sine_fake,80,16,6.588,0.094,1.33,0.022,2.51,1,startup,skipped_rate_limited,False
axis_sine_fake,81,16,4.629,0.086,0.896,0.016,1.733,1,startup,fake_write_recorded,True
axis_sine_fake,82,16,5.395,0.083,1.121,0.016,1.906,1,startup,skipped_rate_limited,False
axis_sine_fake,83,16,6.468,0.135,1.934,0.016,2.999,1,startup,skipped_rate_limited,False
axis_sine_fake,84,16,5.855,0.086,0.799,0.014,1.642,1,startup,fake_write_recorded,True
axis_sine_fake,85,16,5.735,0.224,0.961,0.014,2.276,1,startup,skipped_rate_limited,False
axis_sine_fake,86,16,5.463,0.086,0.928,0.014,1.862,1,startup,skipped_rate_limited,False
axis_sine_fake,87,16,6.467,0.193,1.513,0.025,2.924,1,startup,fake_write_recorded,True
axis_sine_fake,88,16,6.378,0.085,1.23,0.025,2.074,1,startup,skipped_rate_limited,False
axis_sine_fake,89,16,6.016,0.103,1.696,0.025,2.809,1,startup,skipped_rate_limited,False
axis_sine_fake,90,16,4.806,0.088,1.254,0.049,2.053,1,startup,fake_write_recorded,True
axis_sine_fake,91,16,10.597,0.134,1.355,0.049,2.576,1,startup,skipped_rate_limited,False
axis_sine_fake,92,16,7.627,0.143,1.548,0.049,3.086,1,startup,skipped_rate_limited,False
axis_sine_fake,93,16,13.217,0.13,3.96,0.026,6.024,1,startup,fake_write_recorded,True
axis_sine_fake,94,16,5.921,0.2,1.191,0.026,2.577,1,startup,skipped_rate_limited,False
axis_sine_fake,95,16,5.626,0.176,1.364,0.026,2.656,1,startup,skipped_rate_limited,False
axis_sine_fake,96,16,4.676,0.108,0.901,0.016,1.624,1,startup,fake_write_recorded,True
axis_sine_fake,97,16,5.624,0.11,0.795,0.016,1.547,1,startup,skipped_rate_limited,False
axis_sine_fake,98,16,5.152,0.112,1.127,0.016,1.992,1,startup,skipped_rate_limited,False
axis_sine_fake,99,16,6.099,0.096,1.256,0.016,2.405,1,startup,fake_write_recorded,True
axis_sine_fake,100,16,9.212,0.118,0.861,0.016,2.077,1,startup,skipped_rate_limited,False
axis_sine_fake,101,16,34.603,0.164,27.758,0.016,30.538,1,startup,skipped_rate_limited,False
axis_sine_fake,102,16,5.398,0.1,0.822,0.014,1.757,1,startup,fake_write_recorded,True
axis_sine_fake,103,16,8.959,0.187,3.065,0.014,4.956,1,startup,skipped_rate_limited,False
axis_sine_fake,104,16,8.965,0.101,2.258,0.014,3.613,1,startup,skipped_rate_limited,False
axis_sine_fake,105,16,7.719,0.361,1.424,0.048,4.019,1,startup,fake_write_recorded,True
axis_sine_fake,106,16,6.89,0.09,2.002,0.048,2.86,1,startup,skipped_rate_limited,False
axis_sine_fake,107,16,6.113,0.115,1.134,0.048,2.198,1,startup,skipped_rate_limited,False
axis_sine_fake,108,16,9.456,0.113,2.055,0.052,4.106,1,startup,fake_write_recorded,True
axis_sine_fake,109,16,4.956,0.092,1.178,0.052,2.064,1,startup,skipped_rate_limited,False
axis_sine_fake,110,16,6.774,0.123,0.903,0.052,1.748,1,startup,skipped_rate_limited,False
axis_sine_fake,111,16,5.114,0.102,1.038,0.019,1.909,1,startup,fake_write_recorded,True
axis_sine_fake,112,16,4.649,0.088,0.832,0.019,1.577,1,startup,skipped_rate_limited,False
axis_sine_fake,113,16,5.338,0.12,1.078,0.019,1.96,1,startup,skipped_rate_limited,False
axis_sine_fake,114,16,5.15,0.09,0.826,0.015,1.728,1,startup,fake_write_recorded,True
axis_sine_fake,115,16,6.63,0.09,1.802,0.015,2.888,1,startup,skipped_rate_limited,False
axis_sine_fake,116,16,7.739,0.107,1.324,0.015,2.344,1,startup,skipped_rate_limited,False
axis_sine_fake,117,16,4.637,0.099,1.007,0.019,1.886,1,startup,fake_write_recorded,True
axis_sine_fake,118,16,4.905,0.105,0.998,0.019,2.017,1,startup,skipped_rate_limited,False
axis_sine_fake,119,16,5.688,0.088,1.011,0.019,1.822,1,startup,skipped_rate_limited,False
axis_sine_fake,120,16,5.619,0.131,1.166,0.019,2.309,1,startup,fake_write_recorded,True
axis_sine_fake,121,16,63.257,0.12,1.098,0.019,2.173,1,startup,skipped_rate_limited,False
